source_name,source_url,reference_year,table_index,row_index,role_name,role_heading_raw,role_group,previous_headings,experience_range,salary_reference_raw,salary_available,salary_min_eur_year,salary_max_eur_year,salary_midpoint_eur_year,equity_min_pct,equity_max_pct,has_equity_component,methodological_note
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,1,1,Backend,Salarios Backend,,Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026 | Guías | Para contratar,<2 años,€20–30K,True,20000.0,30000.0,25000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,1,2,Backend,Salarios Backend,,Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026 | Guías | Para contratar,2-5 años,€31–40K,True,31000.0,40000.0,35500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,1,3,Backend,Salarios Backend,,Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026 | Guías | Para contratar,5-10 años,€41–50K,True,41000.0,50000.0,45500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,1,4,Backend,Salarios Backend,,Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026 | Guías | Para contratar,>10 años,€51-55K,True,51000.0,55000.0,53000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,2,1,Frontend,Salarios Frontend,,Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026 | Guías,<2 años,€20–30K,True,20000.0,30000.0,25000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,2,2,Frontend,Salarios Frontend,,Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026 | Guías,2-5 años,€31–35K,True,31000.0,35000.0,33000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,2,3,Frontend,Salarios Frontend,,Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026 | Guías,5-10 años,€35–40K,True,35000.0,40000.0,37500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,2,4,Frontend,Salarios Frontend,,Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026 | Guías,>10 años,€40-50K,True,40000.0,50000.0,45000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,3,1,Full-Stack,Salarios Full-Stack,,Salarios Full-Stack | Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026,<2 años,€20–30K,True,20000.0,30000.0,25000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,3,2,Full-Stack,Salarios Full-Stack,,Salarios Full-Stack | Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026,2-5 años,€31–40K,True,31000.0,40000.0,35500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,3,3,Full-Stack,Salarios Full-Stack,,Salarios Full-Stack | Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026,5-10 años,€41–50K,True,41000.0,50000.0,45500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,3,4,Full-Stack,Salarios Full-Stack,,Salarios Full-Stack | Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España | Resumen rápido de 2025 y perspectiva 2026,>10 años,€51-60K,True,51000.0,60000.0,55500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,4,1,AI Engineer,Salarios AI Engineer,,Salarios AI Engineer | Salarios Full-Stack | Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España,<2 años,€25–35K,True,25000.0,35000.0,30000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,4,2,AI Engineer,Salarios AI Engineer,,Salarios AI Engineer | Salarios Full-Stack | Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España,2-5 años,€36–50K,True,36000.0,50000.0,43000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,4,3,AI Engineer,Salarios AI Engineer,,Salarios AI Engineer | Salarios Full-Stack | Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España,5-10 años,€51–70K,True,51000.0,70000.0,60500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,4,4,AI Engineer,Salarios AI Engineer,,Salarios AI Engineer | Salarios Full-Stack | Salarios Frontend | Salarios Backend | 🤑 Guía Salarial de tecnología 2026 España,>10 años,€71-90K,True,71000.0,90000.0,80500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,5,1,Mobile,Salarios Mobile,,Salarios Mobile | Salarios AI Engineer | Salarios Full-Stack | Salarios Frontend | Salarios Backend,<2 años,€20–30K,True,20000.0,30000.0,25000.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
Manfred - Guía Salarial 2026 - Salarios en tecnología [España],https://www.getmanfred.com/blog/guia-salarial-2026-salarios-en-tecnologia-espana-manfred/,2026,5,2,Mobile,Salarios Mobile,,Salarios Mobile | Salarios AI Engineer | Salarios Full-Stack | Salarios Frontend | Salarios Backend,2-5 años,€31–40K,True,31000.0,40000.0,35500.0,,,False,Complementary tech salary reference by role and experience. This is not observed job-posting salary data and must not be used to impute missing salaries in job offers.
